duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
0,tcp,ftp_data,SF,491,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,150,25,0.17,0.03,0.17,0.0,0.0,0.0,0.05,0.0,normal
0,udp,other,SF,146,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,13,1,0.0,0.0,0.0,0.0,0.08,0.15,0.0,255,1,0.0,0.6,0.88,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,private,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,123,6,1.0,1.0,0.0,0.0,0.05,0.07,0.0,255,26,0.1,0.05,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,http,SF,232,8153,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,5,5,0.2,0.2,0.0,0.0,1.0,0.0,0.0,30,255,1.0,0.0,0.03,0.04,0.03,0.01,0.0,0.01,normal
0,tcp,http,SF,199,420,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,30,32,0.0,0.0,0.0,0.0,1.0,0.0,0.09,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,private,REJ,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,121,19,0.0,0.0,1.0,1.0,0.16,0.06,0.0,255,19,0.07,0.07,0.0,0.0,0.0,0.0,1.0,1.0,anomaly
0,tcp,private,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,166,9,1.0,1.0,0.0,0.0,0.05,0.06,0.0,255,9,0.04,0.05,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,private,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,117,16,1.0,1.0,0.0,0.0,0.14,0.06,0.0,255,15,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,remote_job,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,270,23,1.0,1.0,0.0,0.0,0.09,0.05,0.0,255,23,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,private,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,133,8,1.0,1.0,0.0,0.0,0.06,0.06,0.0,255,13,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,private,REJ,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,205,12,0.0,0.0,1.0,1.0,0.06,0.06,0.0,255,12,0.05,0.07,0.0,0.0,0.0,0.0,1.0,1.0,anomaly
0,tcp,private,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,199,3,1.0,1.0,0.0,0.0,0.02,0.06,0.0,255,13,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,http,SF,287,2251,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,3,7,0.0,0.0,0.0,0.0,1.0,0.0,0.43,8,219,1.0,0.0,0.12,0.03,0.0,0.0,0.0,0.0,normal
0,tcp,ftp_data,SF,334,0,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,20,1.0,0.0,1.0,0.2,0.0,0.0,0.0,0.0,anomaly
0,tcp,name,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,233,1,1.0,1.0,0.0,0.0,0.0,0.06,0.0,255,1,0.0,0.07,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,netbios_ns,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,96,16,1.0,1.0,0.0,0.0,0.17,0.05,0.0,255,2,0.01,0.06,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,http,SF,300,13788,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,8,9,0.0,0.11,0.0,0.0,1.0,0.0,0.22,91,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,normal
0,icmp,eco_i,SF,18,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,16,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,anomaly
0,tcp,http,SF,233,616,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,66,255,1.0,0.0,0.02,0.03,0.0,0.0,0.02,0.0,normal
0,tcp,http,SF,343,1178,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,9,10,0.0,0.0,0.0,0.0,1.0,0.0,0.2,157,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,0.0,normal
0,tcp,mtp,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,223,23,1.0,1.0,0.0,0.0,0.1,0.05,0.0,255,23,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,private,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,280,17,1.0,1.0,0.0,0.0,0.06,0.05,0.0,238,17,0.07,0.06,0.0,0.0,0.99,1.0,0.0,0.0,anomaly
0,tcp,http,SF,253,11905,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,8,10,0.0,0.0,0.0,0.0,1.0,0.0,0.2,87,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,normal
5607,udp,other,SF,147,105,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,1,0.0,0.85,1.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,mtp,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,248,2,1.0,1.0,0.0,0.0,0.01,0.06,0.0,255,2,0.01,0.06,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
507,tcp,telnet,SF,437,14421,False,0,False,0,0,True,3,False,0,0,0,False,1,0,False,False,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,25,0.1,0.05,0.0,0.0,0.53,0.0,0.02,0.16,normal
0,tcp,private,S0,0,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,279,7,1.0,1.0,0.0,0.0,0.03,0.06,0.0,255,13,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0.0,anomaly
0,tcp,http,SF,227,6588,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,5,22,0.0,0.0,0.0,0.0,1.0,0.0,0.18,43,255,1.0,0.0,0.02,0.14,0.0,0.0,0.56,0.57,normal
0,tcp,http,SF,215,10499,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,14,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,tcp,http,SF,241,1400,False,0,False,0,0,True,0,False,0,0,0,False,0,0,False,False,33,33,0.0,0.0,0.03,0.03,1.0,0.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,normal
0,icmp,eco_i,SF,8,0,False,0,False,0,0,False,0,False,0,0,0,False,0,0,False,False,1,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,53,1.0,0.0,1.0,0.51,0.0,0.0,0.0,0.0,anomaly
